customer_id,fico_score,loan_amount,tenure_months,state,plan_type,monthly_income,date_issued,loan_status
1034,627.0,30197,12,WA,Family,2019.0,2023-02-03,Current
1035,721.0,23719,18,NY,Business,6164.0,2023-02-04,Current
1036,619.0,27665,24,WA,Family,2791.0,2023-02-05,Default
1037,690.0,46239,36,IL,Individual,4039.0,2023-02-06,Current
1038,582.0,28032,24,TX,Business,6366.0,2023-02-07,Current
1039,614.0,15641,24,IL,Family,4992.0,2023-02-08,Current
1040,690.0,44964,12,GA,Business,5009.0,2023-02-09,Current
1041,717.0,33028,6,MI,Individual,2729.0,2023-02-10,Current
1042,689.0,48494,12,TX,Individual,2934.0,2023-02-11,Current
1043,674.0,18651,24,NY,Business,5912.0,2023-02-12,Current
1044,665.0,11536,12,NC,Individual,3616.0,2023-02-13,Current
1045,606.0,48712,24,WA,Business,3758.0,2023-02-14,Current
1046,644.0,9273,18,IL,Business,5946.0,2023-02-15,Current
1047,657.0,9284,12,OH,Business,2925.0,2023-02-16,Current
1048,733.0,28692,12,CA,Family,4904.0,2023-02-17,Default
1049,697.0,11817,18,NY,Family,4564.0,2023-02-18,Current
1050,592.0,31955,18,CA,Business,4496.0,2023-02-19,Current
1051,696.0,29555,24,TX,Family,3722.0,2023-02-20,Current
1052,661.0,23378,24,GA,Family,3630.0,2023-02-21,Current
1053,646.0,44182,18,NY,Business,2882.0,2023-02-22,Default
1054,711.0,20127,24,GA,Family,5224.0,2023-02-23,Default
1055,732.0,20952,18,GA,Business,3498.0,2023-02-24,Current
1056,727.0,14539,36,NC,Individual,5953.0,2023-02-25,Current
1057,638.0,49761,12,TX,Individual,4163.0,2023-02-26,Default
1058,665.0,49219,24,IL,Individual,2912.0,2023-02-27,Current
1059,697.0,17692,12,OH,Individual,4143.0,2023-02-28,Current
1060,729.0,21120,12,MI,Family,3884.0,2023-03-01,Current
1061,656.0,16334,12,GA,Individual,6014.0,2023-03-02,Default
1062,671.0,31615,18,TX,Business,3946.0,2023-03-03,Current
1063,625.0,10903,12,NC,Individual,4086.0,2023-03-04,Current
1064,620.0,31527,12,NY,Individual,6617.0,2023-03-05,Default
1065,721.0,18629,36,FL,Individual,5262.0,2023-03-06,Current
1066,748.0,20740,24,FL,Family,6994.0,2023-03-07,Current
1067,676.0,36782,24,OH,Individual,6389.0,2023-03-08,Current
1068,730.0,29708,24,NC,Individual,3169.0,2023-03-09,Current
1069,698.0,13860,36,TX,Family,5985.0,2023-03-10,Current
1070,648.0,20438,18,NC,Individual,6788.0,2023-03-11,Current
1071,698.0,4764,12,MI,Individual,6799.0,2023-03-12,Current
1072,757.0,9009,24,MI,Family,5982.0,2023-03-13,Current
1073,678.0,23842,24,IL,Individual,5951.0,2023-03-14,Current
1074,758.0,45372,18,FL,Individual,4046.0,2023-03-15,Current
1075,549.0,36435,18,FL,Individual,3244.0,2023-03-16,Current
1076,721.0,6370,18,MI,Individual,3972.0,2023-03-17,Current
1077,684.0,41744,36,NC,Family,2003.0,2023-03-18,Current
1078,665.0,23454,12,OH,Individual,6514.0,2023-03-19,Current
1079,685.0,44381,36,OH,Business,4075.0,2023-03-20,Current
1080,581.0,41367,36,GA,Business,6437.0,2023-03-21,Default
1081,669.0,6650,24,NY,Individual,2653.0,2023-03-22,Default
1082,698.0,48117,18,FL,Business,6124.0,2023-03-23,Default
1083,754.0,28708,12,MI,Individual,3758.0,2023-03-24,Current
1084,654.0,45662,6,NC,Individual,2573.0,2023-03-25,Current
1085,640.0,6190,12,TX,Individual,6941.0,2023-03-26,Current
1086,655.0,11789,24,NY,Individual,6161.0,2023-03-27,Current
1087,726.0,35125,18,OH,Family,4818.0,2023-03-28,Current
1088,696.0,36159,12,CA,Individual,4551.0,2023-03-29,Current
1089,654.0,20459,12,CA,Business,5159.0,2023-03-30,Current
1090,706.0,38418,36,NC,Family,4792.0,2023-03-31,Current
1091,685.0,49368,12,WA,Individual,3312.0,2023-04-01,Current
1092,728.0,21768,36,WA,Family,3882.0,2023-04-02,Current
1093,645.0,18563,12,FL,Business,7441.0,2023-04-03,Current
1094,664.0,30885,18,TX,Individual,8508.0,2023-04-04,Current
1095,660.0,24885,6,GA,Individual,6844.0,2023-04-05,Current
1096,607.0,9895,18,NC,Individual,5217.0,2023-04-06,Default
1097,695.0,26958,24,CA,Individual,3993.0,2023-04-07,Current
1098,693.0,4531,12,CA,Family,3303.0,2023-04-08,Current
1099,680.0,8481,18,TX,Individual,3402.0,2023-04-09,Current
1100,668.0,26932,24,FL,Family,3670.0,2023-04-10,Default
1101,609.0,24360,24,WA,Family,7727.0,2023-04-11,Default
1102,659.0,46642,24,IL,Family,7209.0,2023-04-12,Current
1103,663.0,27829,12,FL,Individual,5619.0,2023-04-13,Current
1104,640.0,22932,18,FL,Individual,3059.0,2023-04-14,Current
1105,672.0,41931,36,OH,Individual,5840.0,2023-04-15,Current
1106,700.0,41032,24,GA,Individual,4142.0,2023-04-16,Current
1107,774.0,18890,36,GA,Business,1270.0,2023-04-17,Current
1108,689.0,21807,12,CA,Individual,4931.0,2023-04-18,Current
1109,693.0,14767,24,GA,Individual,3237.0,2023-04-19,Current
1110,676.0,11071,24,CA,Individual,3288.0,2023-04-20,Current
1111,584.0,29149,6,FL,Business,4124.0,2023-04-21,Default
1112,679.0,18540,24,TX,Family,3753.0,2023-04-22,Current
1113,683.0,38676,24,IL,Family,4449.0,2023-04-23,Current
1114,803.0,7712,12,TX,Individual,4377.0,2023-04-24,Current
1115,670.0,29201,6,FL,Individual,1686.0,2023-04-25,Current
1116,695.0,47958,24,MI,Family,6780.0,2023-04-26,Current
1117,678.0,22899,6,NC,Business,3025.0,2023-04-27,Current
1118,622.0,22787,6,WA,Family,3071.0,2023-04-28,Current
1119,737.0,23982,18,NC,Family,4007.0,2023-04-29,Current
1120,718.0,25606,12,IL,Individual,4337.0,2023-04-30,Current
1121,720.0,13150,36,GA,Individual,6688.0,2023-05-01,Current
1122,635.0,23393,18,NC,Business,4904.0,2023-05-02,Current
1123,750.0,40259,18,GA,Individual,5350.0,2023-05-03,Current
1124,610.0,49687,36,FL,Business,4912.0,2023-05-04,Current
1125,709.0,49936,18,IL,Individual,4847.0,2023-05-05,Current
1126,790.0,30750,12,OH,Individual,4965.0,2023-05-06,Current
1127,630.0,11593,24,WA,Family,1601.0,2023-05-07,Current
1128,652.0,20358,18,WA,Individual,4125.0,2023-05-08,Current
1129,685.0,19607,12,MI,Individual,6243.0,2023-05-09,Current
1130,655.0,40381,24,OH,Individual,10413.0,2023-05-10,Current
1131,602.0,27811,24,CA,Family,2694.0,2023-05-11,Default
1132,683.0,31074,24,WA,Individual,5135.0,2023-05-12,Current
1133,627.0,23595,36,NY,Individual,3643.0,2023-05-13,Current
1134,704.0,47194,24,CA,Family,7571.0,2023-05-14,Current
1135,634.0,29853,24,WA,Individual,2469.0,2023-05-15,Current
1136,757.0,11183,24,FL,Business,5437.0,2023-05-16,Current
1137,641.0,23661,6,IL,Individual,2389.0,2023-05-17,Default
1138,664.0,44169,12,IL,Family,4022.0,2023-05-18,Current
1139,721.0,39495,24,NY,Individual,4449.0,2023-05-19,Current
1140,618.0,16703,18,FL,Family,6105.0,2023-05-20,Current
1141,691.0,33815,12,NY,Family,2884.0,2023-05-21,Current
1142,745.0,32565,12,GA,Business,5495.0,2023-05-22,Current
1143,600.0,25942,12,TX,Individual,4528.0,2023-05-23,Current
1144,689.0,45986,18,WA,Individual,4909.0,2023-05-24,Current
1145,693.0,36161,24,FL,Family,5937.0,2023-05-25,Current
1146,719.0,44803,36,TX,Individual,2576.0,2023-05-26,Current
1147,618.0,12716,24,TX,Individual,5716.0,2023-05-27,Current
1148,614.0,44563,24,IL,Business,3647.0,2023-05-28,Current
1149,706.0,36349,18,IL,Individual,6144.0,2023-05-29,Current
1150,695.0,45899,12,OH,Business,5002.0,2023-05-30,Current
1151,693.0,3132,12,GA,Individual,4186.0,2023-05-31,Current
1152,697.0,6385,24,FL,Family,3615.0,2023-06-01,Current
1153,646.0,39538,12,MI,Family,5735.0,2023-06-02,Current
1154,692.0,38036,18,FL,Family,6391.0,2023-06-03,Current
1155,695.0,36743,24,GA,Business,3701.0,2023-06-04,Current
1156,644.0,43373,18,IL,Individual,2800.0,2023-06-05,Default
1157,773.0,10213,36,IL,Business,5541.0,2023-06-06,Current
1158,704.0,47223,24,WA,Family,2327.0,2023-06-07,Current
1159,620.0,29119,12,NC,Individual,2542.0,2023-06-08,Current
1160,713.0,5835,18,IL,Business,2906.0,2023-06-09,Current
1161,631.0,5738,24,NY,Individual,3877.0,2023-06-10,Current
1162,719.0,45317,12,WA,Business,2496.0,2023-06-11,Current
1163,738.0,7134,6,CA,Individual,1592.0,2023-06-12,Current
1164,639.0,28892,18,NC,Business,2797.0,2023-06-13,Current
1165,728.0,42601,36,NC,Family,5464.0,2023-06-14,Current
1166,701.0,11353,18,NY,Individual,2593.0,2023-06-15,Default
1167,721.0,18690,36,NC,Family,3990.0,2023-06-16,Current
1168,775.0,4909,24,MI,Individual,7420.0,2023-06-17,Current
1169,668.0,28703,12,IL,Individual,4426.0,2023-06-18,Current
1170,642.0,17496,24,IL,Individual,5014.0,2023-06-19,Current
1171,636.0,15062,18,WA,Individual,3081.0,2023-06-20,Current
1172,639.0,12850,12,GA,Individual,7745.0,2023-06-21,Current
1173,676.0,30701,24,NY,Family,3688.0,2023-06-22,Current
1174,697.0,37731,24,IL,Individual,4158.0,2023-06-23,Default
1175,694.0,8153,12,TX,Family,6476.0,2023-06-24,Current
1176,721.0,13481,36,OH,Individual,4227.0,2023-06-25,Current
1177,681.0,36734,24,IL,Family,4572.0,2023-06-26,Current
1178,753.0,3889,36,FL,Family,4077.0,2023-06-27,Current
1179,667.0,22445,12,TX,Individual,4088.0,2023-06-28,Current
1180,816.0,9461,36,GA,Business,5056.0,2023-06-29,Current
1181,711.0,41934,12,TX,Family,5329.0,2023-06-30,Current
1182,637.0,31205,6,NC,Family,3535.0,2023-07-01,Current
1183,626.0,26351,24,OH,Individual,3351.0,2023-07-02,Current
1184,704.0,19006,24,CA,Individual,3586.0,2023-07-03,Current
1185,669.0,47149,18,OH,Business,2398.0,2023-07-04,Current
1186,716.0,13940,18,IL,Business,2114.0,2023-07-05,Default
1187,704.0,14258,6,WA,Individual,4946.0,2023-07-06,Current
1188,676.0,27485,24,MI,Individual,5908.0,2023-07-07,Current
1189,638.0,26763,18,GA,Family,5807.0,2023-07-08,Default
1190,604.0,43048,18,WA,Family,927.0,2023-07-09,Default
1191,658.0,4067,18,IL,Business,4132.0,2023-07-10,Current
1192,723.0,23607,36,WA,Individual,2847.0,2023-07-11,Current
1193,691.0,46883,24,FL,Individual,4716.0,2023-07-12,Current
1194,618.0,12018,24,TX,Individual,3873.0,2023-07-13,Current
1195,689.0,49946,36,MI,Individual,5388.0,2023-07-14,Current
1196,699.0,18187,18,IL,Individual,4471.0,2023-07-15,Current
1197,636.0,40375,6,NC,Business,1656.0,2023-07-16,Current
1198,688.0,6985,6,GA,Family,3049.0,2023-07-17,Current
1199,683.0,46052,24,NC,Business,4509.0,2023-07-18,Current
1200,623.0,22563,12,TX,Individual,4635.0,2023-07-19,Current
1201,698.0,40306,18,MI,Individual,2391.0,2023-07-20,Current
1202,708.0,21608,12,TX,Individual,2195.0,2023-07-21,Current
1203,734.0,42139,12,NY,Individual,4584.0,2023-07-22,Current
1204,733.0,4726,18,NC,Business,2394.0,2023-07-23,Current
1205,611.0,29582,36,TX,Individual,1997.0,2023-07-24,Current
1206,633.0,8791,24,TX,Individual,3832.0,2023-07-25,Current
1207,706.0,11458,36,WA,Individual,3767.0,2023-07-26,Current
1208,706.0,20221,36,IL,Individual,3182.0,2023-07-27,Current
1209,706.0,23968,12,WA,Family,3444.0,2023-07-28,Current
1210,850.0,20070,12,NY,Individual,4521.0,2023-07-29,Current
1211,709.0,30937,24,OH,Family,3420.0,2023-07-30,Current
1212,737.0,44831,24,OH,Family,4606.0,2023-07-31,Current
1213,728.0,45933,18,WA,Individual,3929.0,2023-08-01,Current
1214,713.0,40415,36,CA,Individual,4751.0,2023-08-02,Current
1215,664.0,45770,6,NC,Family,5817.0,2023-08-03,Current
1216,718.0,23802,12,WA,Family,5759.0,2023-08-04,Current
1217,641.0,46601,24,FL,Individual,6432.0,2023-08-05,Current
1218,668.0,13420,18,FL,Individual,5757.0,2023-08-06,Current
1219,656.0,9642,12,GA,Individual,4858.0,2023-08-07,Current
1220,684.0,22775,12,NY,Individual,3850.0,2023-08-08,Current
1221,796.0,31754,6,NY,Individual,3918.0,2023-08-09,Current
1222,587.0,46310,24,WA,Individual,3183.0,2023-08-10,Current
1223,714.0,7357,24,MI,Individual,4507.0,2023-08-11,Current
1224,599.0,24263,24,TX,Individual,5546.0,2023-08-12,Current
1225,656.0,16201,24,IL,Individual,3411.0,2023-08-13,Current
1226,734.0,5739,18,TX,Business,4444.0,2023-08-14,Current
1227,683.0,16231,18,TX,Family,3484.0,2023-08-15,Current
1228,626.0,45278,12,NY,Business,4814.0,2023-08-16,Current
1229,644.0,45495,12,NY,Individual,3676.0,2023-08-17,Current
1230,714.0,24168,12,FL,Family,3391.0,2023-08-18,Current
1231,643.0,35624,24,NY,Individual,3480.0,2023-08-19,Default
1232,691.0,13635,36,WA,Family,5255.0,2023-08-20,Current
1233,682.0,12964,18,FL,Individual,4355.0,2023-08-21,Current
1234,647.0,30785,24,NC,Individual,3857.0,2023-08-22,Current
1235,787.0,32510,12,TX,Business,4892.0,2023-08-23,Current
1236,712.0,20261,24,NC,Family,3878.0,2023-08-24,Current
1237,579.0,22254,24,TX,Business,6190.0,2023-08-25,Default
1238,689.0,14392,18,TX,Individual,3039.0,2023-08-26,Current
1239,647.0,15336,12,GA,Individual,4220.0,2023-08-27,Current
1240,723.0,14939,24,TX,Individual,2393.0,2023-08-28,Current
1241,640.0,30412,24,MI,Family,3980.0,2023-08-29,Current
1242,674.0,19676,24,NC,Family,1981.0,2023-08-30,Current
1243,705.0,12843,24,TX,Business,5619.0,2023-08-31,Current
1244,723.0,48591,36,CA,Individual,5650.0,2023-09-01,Current
1245,620.0,28112,12,CA,Family,5676.0,2023-09-02,Current
1246,663.0,33598,6,CA,Individual,4543.0,2023-09-03,Current
1247,656.0,38454,12,WA,Individual,3180.0,2023-09-04,Current
1248,647.0,36001,12,FL,Family,3299.0,2023-09-05,Current
1249,768.0,30228,18,NC,Family,6795.0,2023-09-06,Current
1250,700.0,17429,24,TX,Individual,6654.0,2023-09-07,Current
1251,617.0,21758,18,OH,Individual,4684.0,2023-09-08,Current
1252,726.0,5272,12,FL,Individual,3727.0,2023-09-09,Current
1253,786.0,20350,36,OH,Individual,6553.0,2023-09-10,Current
1254,732.0,25538,6,IL,Individual,3458.0,2023-09-11,Current
1255,604.0,6400,12,MI,Individual,4843.0,2023-09-12,Current
1256,656.0,18371,24,IL,Individual,6528.0,2023-09-13,Current
1257,743.0,40310,24,NY,Business,3245.0,2023-09-14,Current
1258,645.0,39291,18,FL,Business,5744.0,2023-09-15,Current
1259,702.0,21147,6,OH,Individual,5281.0,2023-09-16,Current
1260,719.0,6291,24,GA,Business,4441.0,2023-09-17,Current
1261,634.0,38256,6,TX,Family,3010.0,2023-09-18,Current
1262,677.0,13892,12,WA,Individual,3413.0,2023-09-19,Current
1263,518.0,37326,24,NC,Individual,4934.0,2023-09-20,Default
1264,629.0,40458,12,TX,Business,2365.0,2023-09-21,Current
1265,667.0,41889,12,NC,Family,4696.0,2023-09-22,Default
1266,618.0,47966,18,GA,Business,5312.0,2023-09-23,Current
1267,762.0,40207,36,TX,Business,5978.0,2023-09-24,Current
1268,608.0,43288,36,MI,Individual,2402.0,2023-09-25,Default
1269,658.0,28995,18,NY,Individual,6474.0,2023-09-26,Current
1270,687.0,8409,12,CA,Individual,7043.0,2023-09-27,Current
1271,752.0,45438,12,GA,Individual,5115.0,2023-09-28,Current
1272,608.0,47874,12,NY,Individual,2943.0,2023-09-29,Current
1273,738.0,47702,18,TX,Individual,4008.0,2023-09-30,Current
1274,681.0,32823,24,OH,Individual,4429.0,2023-10-01,Default
1275,631.0,10869,18,NY,Individual,4906.0,2023-10-02,Current
1276,703.0,38724,18,WA,Individual,4533.0,2023-10-03,Current
1277,690.0,25401,12,NY,Individual,4922.0,2023-10-04,Current
1278,650.0,28958,18,IL,Individual,4364.0,2023-10-05,Current
1279,683.0,13766,12,MI,Individual,4898.0,2023-10-06,Current
1280,661.0,22768,18,GA,Family,3809.0,2023-10-07,Current
1281,686.0,33794,24,CA,Business,3993.0,2023-10-08,Current
1282,713.0,29145,24,TX,Individual,3636.0,2023-10-09,Current
1283,759.0,13086,18,GA,Individual,7376.0,2023-10-10,Current
1284,618.0,46203,18,FL,Business,6696.0,2023-10-11,Current
1285,787.0,29442,12,GA,Family,5333.0,2023-10-12,Current
1286,582.0,19412,6,WA,Family,6488.0,2023-10-13,Default
1287,672.0,28596,24,GA,Individual,5698.0,2023-10-14,Default
1288,709.0,13255,12,FL,Business,4772.0,2023-10-15,Current
1289,694.0,45406,24,NY,Business,2242.0,2023-10-16,Current
1290,649.0,43524,24,IL,Family,4107.0,2023-10-17,Current
1291,670.0,26332,36,NY,Individual,3997.0,2023-10-18,Current
1292,655.0,47624,36,NY,Business,2800.0,2023-10-19,Current
1293,651.0,18764,6,FL,Family,2271.0,2023-10-20,Current
1294,722.0,30563,36,NC,Family,5239.0,2023-10-21,Current
1295,698.0,25139,24,CA,Individual,4987.0,2023-10-22,Current
1296,645.0,39370,24,FL,Family,2749.0,2023-10-23,Current
1297,725.0,8062,6,NY,Individual,3381.0,2023-10-24,Current
1298,695.0,47645,24,GA,Individual,6242.0,2023-10-25,Current
1299,721.0,10244,12,CA,Family,3183.0,2023-10-26,Current
1300,711.0,9372,24,TX,Individual,4756.0,2023-10-27,Current
1301,639.0,42873,6,OH,Family,4215.0,2023-10-28,Current
1302,652.0,22965,24,TX,Family,5260.0,2023-10-29,Current
1303,717.0,47997,18,WA,Individual,3216.0,2023-10-30,Current
1304,711.0,19956,12,NY,Family,4635.0,2023-10-31,Current
1305,679.0,43473,12,GA,Business,4753.0,2023-11-01,Current
1306,686.0,16894,18,NC,Individual,4845.0,2023-11-02,Current
1307,744.0,48048,12,IL,Family,4619.0,2023-11-03,Current
1308,650.0,36382,18,IL,Individual,5017.0,2023-11-04,Default
1309,707.0,7050,24,CA,Individual,7788.0,2023-11-05,Current
1310,670.0,19709,24,NC,Individual,8342.0,2023-11-06,Current
1311,669.0,18722,24,OH,Individual,3541.0,2023-11-07,Current
1312,735.0,18210,6,TX,Individual,1023.0,2023-11-08,Current
1313,721.0,39545,12,OH,Business,5393.0,2023-11-09,Default
1314,721.0,41674,12,MI,Family,4779.0,2023-11-10,Current
1315,745.0,37489,36,TX,Family,6092.0,2023-11-11,Current
1316,681.0,20733,24,TX,Individual,4927.0,2023-11-12,Current
1317,714.0,23080,12,TX,Family,4588.0,2023-11-13,Current
1318,664.0,39664,6,GA,Individual,6193.0,2023-11-14,Current
1319,696.0,42709,24,FL,Individual,6403.0,2023-11-15,Current
1320,673.0,49232,24,GA,Individual,2420.0,2023-11-16,Current
1321,685.0,41014,24,IL,Individual,3275.0,2023-11-17,Current
1322,710.0,44152,24,GA,Individual,4342.0,2023-11-18,Current
1323,639.0,30250,18,OH,Family,4648.0,2023-11-19,Current
1324,785.0,23229,12,GA,Business,4161.0,2023-11-20,Current
1325,630.0,19475,18,FL,Individual,5151.0,2023-11-21,Current
1326,619.0,49412,18,CA,Individual,5994.0,2023-11-22,Current
1327,738.0,46876,18,NC,Individual,7084.0,2023-11-23,Current
1328,720.0,32011,18,CA,Business,5368.0,2023-11-24,Current
1329,711.0,11128,12,MI,Business,3221.0,2023-11-25,Current
1330,711.0,35450,12,IL,Family,4279.0,2023-11-26,Current
1331,679.0,21897,18,MI,Business,4387.0,2023-11-27,Default
1332,635.0,11168,12,MI,Individual,5272.0,2023-11-28,Current
1333,684.0,9861,18,NC,Business,5082.0,2023-11-29,Current
1334,646.0,44758,24,NC,Individual,7576.0,2023-11-30,Current
1335,729.0,16750,24,FL,Individual,3808.0,2023-12-01,Current
1336,673.0,19988,18,FL,Family,5077.0,2023-12-02,Current
1337,639.0,5979,18,CA,Individual,8032.0,2023-12-03,Current
1338,664.0,26524,6,FL,Family,3622.0,2023-12-04,Current
1339,701.0,10065,24,FL,Individual,4718.0,2023-12-05,Current
1340,652.0,40684,18,WA,Family,3083.0,2023-12-06,Current
1341,639.0,26184,18,NY,Individual,4623.0,2023-12-07,Current
1342,692.0,36365,24,CA,Individual,3330.0,2023-12-08,Current
1343,692.0,26704,18,NC,Business,6070.0,2023-12-09,Current
1344,655.0,8622,6,CA,Business,4721.0,2023-12-10,Current
1345,656.0,21261,12,NC,Business,3097.0,2023-12-11,Current
1346,692.0,47932,18,GA,Family,5761.0,2023-12-12,Current
1347,608.0,31419,18,NY,Family,4769.0,2023-12-13,Current
1348,610.0,37467,24,WA,Family,5929.0,2023-12-14,Current
1349,644.0,28605,18,WA,Individual,2779.0,2023-12-15,Current
1350,669.0,32171,24,OH,Individual,5053.0,2023-12-16,Current
1351,696.0,25164,18,IL,Individual,5660.0,2023-12-17,Current
1352,754.0,49197,18,NC,Business,3865.0,2023-12-18,Current
1353,723.0,16796,18,IL,Individual,2611.0,2023-12-19,Default
1354,672.0,39854,18,GA,Business,4438.0,2023-12-20,Default
1355,679.0,34320,18,WA,Family,6342.0,2023-12-21,Current
1356,630.0,3665,12,GA,Family,6189.0,2023-12-22,Default
1357,679.0,35694,24,MI,Individual,3857.0,2023-12-23,Current
1358,666.0,27230,12,NY,Individual,2575.0,2023-12-24,Current
1359,696.0,25995,12,OH,Business,3853.0,2023-12-25,Current
1360,639.0,29784,6,GA,Individual,3797.0,2023-12-26,Current
1361,706.0,17605,6,OH,Individual,5170.0,2023-12-27,Current
1362,757.0,20463,18,NY,Individual,4342.0,2023-12-28,Current
1363,675.0,11419,12,CA,Individual,3370.0,2023-12-29,Current
1364,700.0,36837,6,GA,Individual,6156.0,2023-12-30,Current
1365,715.0,8263,18,FL,Family,4711.0,2023-12-31,Default
1366,660.0,43719,24,TX,Individual,5153.0,2024-01-01,Default
1367,691.0,48687,6,WA,Family,1913.0,2024-01-02,Current
1368,681.0,37131,18,WA,Individual,864.0,2024-01-03,Current
1369,685.0,40276,24,WA,Business,2344.0,2024-01-04,Current
1370,641.0,37523,36,CA,Family,3779.0,2024-01-05,Current
1371,681.0,3519,24,TX,Individual,5365.0,2024-01-06,Current
1372,705.0,34106,12,NY,Individual,987.0,2024-01-07,Current
1373,753.0,47504,24,CA,Individual,6889.0,2024-01-08,Current
1374,728.0,13514,18,WA,Family,4756.0,2024-01-09,Current
1375,788.0,10233,12,WA,Family,6540.0,2024-01-10,Current
1376,642.0,4102,24,IL,Business,3171.0,2024-01-11,Current
1377,724.0,3597,18,OH,Individual,5256.0,2024-01-12,Current
1378,689.0,49715,36,OH,Individual,4628.0,2024-01-13,Current
1379,789.0,22657,24,IL,Individual,5727.0,2024-01-14,Current
1380,640.0,48009,24,MI,Individual,4149.0,2024-01-15,Default
1381,638.0,41549,24,IL,Family,5210.0,2024-01-16,Default
1382,650.0,46565,18,OH,Individual,6153.0,2024-01-17,Current
1383,574.0,9256,18,WA,Family,3523.0,2024-01-18,Default
1384,654.0,46148,24,FL,Family,4863.0,2024-01-19,Default
1385,642.0,32401,24,OH,Business,1668.0,2024-01-20,Current
1386,688.0,44548,24,TX,Individual,5554.0,2024-01-21,Current
1387,697.0,9554,24,FL,Business,7432.0,2024-01-22,Current
1388,774.0,15664,36,CA,Business,2633.0,2024-01-23,Current
1389,728.0,45367,24,OH,Business,4363.0,2024-01-24,Default
1390,651.0,27386,18,NY,Family,5821.0,2024-01-25,Current
1391,635.0,7846,12,GA,Business,4547.0,2024-01-26,Current
1392,705.0,29205,24,GA,Family,4748.0,2024-01-27,Current
1393,614.0,28570,12,TX,Individual,3914.0,2024-01-28,Default
1394,772.0,33255,12,NC,Family,3858.0,2024-01-29,Current
1395,739.0,24182,12,GA,Family,4370.0,2024-01-30,Current
1396,657.0,42373,24,TX,Business,4563.0,2024-01-31,Current
1397,594.0,46019,24,NC,Family,2728.0,2024-02-01,Current
1398,748.0,19043,24,CA,Individual,4401.0,2024-02-02,Current
1399,674.0,48532,18,NC,Family,6853.0,2024-02-03,Default
1400,742.0,38754,24,NY,Business,3871.0,2024-02-04,Current
1401,600.0,3400,24,OH,Individual,2644.0,2024-02-05,Current
1402,650.0,22239,18,GA,Individual,4273.0,2024-02-06,Current
1403,680.0,13416,12,WA,Family,3428.0,2024-02-07,Current
1404,682.0,6412,12,IL,Individual,2492.0,2024-02-08,Current
1405,657.0,19440,18,OH,Individual,4709.0,2024-02-09,Current
1406,711.0,27406,24,CA,Individual,3435.0,2024-02-10,Current
1407,627.0,4875,18,CA,Business,3563.0,2024-02-11,Current
1408,673.0,40066,36,TX,Individual,4730.0,2024-02-12,Current
1409,686.0,39536,6,MI,Individual,2200.0,2024-02-13,Current
1410,706.0,8752,12,NC,Family,1888.0,2024-02-14,Current
1411,716.0,24217,18,NC,Business,5506.0,2024-02-15,Current
1412,624.0,15489,6,TX,Business,1604.0,2024-02-16,Current
1413,603.0,4353,12,IL,Individual,3035.0,2024-02-17,Default
1414,744.0,29986,12,WA,Business,1800.0,2024-02-18,Current
1415,697.0,24371,18,CA,Individual,3771.0,2024-02-19,Current
